date,all,nonregular,regular,week_start,week_end,direction
2021-06-18T12:00:00,42,30,,2021-06-14,2021-06-20,outward
2021-06-18T13:00:00,37,33,,2021-06-14,2021-06-20,outward
2021-06-18T14:00:00,46,40,,2021-06-14,2021-06-20,outward
2021-06-18T15:00:00,45,41,,2021-06-14,2021-06-20,outward
2021-06-18T16:00:00,37,32,,2021-06-14,2021-06-20,outward
2021-06-18T17:00:00,29,28,,2021-06-14,2021-06-20,outward
2021-06-18T18:00:00,34,32,,2021-06-14,2021-06-20,outward
2021-06-18T19:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-18T20:00:00,27,27,,2021-06-14,2021-06-20,outward
2021-06-18T21:00:00,24,24,,2021-06-14,2021-06-20,outward
2021-06-18T22:00:00,37,35,,2021-06-14,2021-06-20,outward
2021-06-18T23:00:00,27,27,,2021-06-14,2021-06-20,outward
2021-06-19T00:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T01:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T02:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T03:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T04:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T05:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T06:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T07:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T08:00:00,23,,,2021-06-14,2021-06-20,outward
2021-06-19T09:00:00,48,41,,2021-06-14,2021-06-20,outward
2021-06-19T10:00:00,37,37,,2021-06-14,2021-06-20,outward
2021-06-19T11:00:00,53,53,,2021-06-14,2021-06-20,outward
2021-06-19T12:00:00,52,46,,2021-06-14,2021-06-20,outward
2021-06-19T13:00:00,45,40,,2021-06-14,2021-06-20,outward
2021-06-19T14:00:00,42,38,,2021-06-14,2021-06-20,outward
2021-06-19T15:00:00,40,34,,2021-06-14,2021-06-20,outward
2021-06-19T16:00:00,24,22,,2021-06-14,2021-06-20,outward
2021-06-19T17:00:00,29,21,,2021-06-14,2021-06-20,outward
2021-06-19T18:00:00,28,26,,2021-06-14,2021-06-20,outward
2021-06-19T19:00:00,23,23,,2021-06-14,2021-06-20,outward
2021-06-19T20:00:00,29,29,,2021-06-14,2021-06-20,outward
2021-06-19T21:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T22:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-19T23:00:00,31,31,,2021-06-14,2021-06-20,outward
2021-06-20T00:00:00,39,37,,2021-06-14,2021-06-20,outward
2021-06-20T01:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T02:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T03:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T04:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T05:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T06:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T07:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T08:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T09:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T10:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T11:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T12:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T13:00:00,30,30,,2021-06-14,2021-06-20,outward
2021-06-20T14:00:00,31,31,,2021-06-14,2021-06-20,outward
2021-06-20T15:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T16:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T17:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T18:00:00,31,29,,2021-06-14,2021-06-20,outward
2021-06-20T19:00:00,35,33,,2021-06-14,2021-06-20,outward
2021-06-20T20:00:00,62,56,,2021-06-14,2021-06-20,outward
2021-06-20T21:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T22:00:00,,,,2021-06-14,2021-06-20,outward
2021-06-20T23:00:00,,,,2021-06-14,2021-06-20,outward
