id,object_ref,category,date,type,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,address,_geom,EGID
3001347260,4020/010201/25.880118.44fc8d14-1532-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:11,,2,850,,,,62,,Bauhofstrasse 4,St. Gallen,9000,"Bauhofstrasse 4, 9000 St. Gallen",POINT (9.360916137695312 47.41611099243164),1069860_0
3001347688,880233.38965c7b-1550-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:11,,4,850,,,,26,,Teufener Strasse 10,St. Gallen,9000,"Teufener Strasse 10, 9000 St. Gallen",POINT (9.371077537536621 47.420677185058594),1072313_0
3001377056,47644397,rent,2021-09-30T14:31:11,,,620,,,,30,,Zürcherstrasse 240,St. Gallen,9014,"Zürcherstrasse 240, 9014 St. Gallen",,
3001329780,40892604,rent,2021-09-30T14:31:11,,,1120,,,,70,,Stationsweg 8,St. Gallen,9014,"Stationsweg 8, 9014 St. Gallen",POINT (9.32912540435791 47.407501220703125),1068993_0
3001316083,06843.02.0208,rent,2021-09-30T14:31:11,,3,2150,,,,171,2005,Heimstr. 12,St. Gallen,9014,"Heimstr. 12, 9014 St. Gallen",POINT (9.337326049804688 47.4145622253418),190094715_0
3001133982,7797.07.0201,rent,2021-09-30T14:31:11,,2,1690,280,1410,,95,1968,Zilweg 10,St. Gallen,9016,"Zilweg 10, 9016 St. Gallen",POINT (9.409198760986328 47.44179916381836),1077130_0
3001346929,41059445,rent,2021-09-30T14:31:11,,,1340,,,,80,,Bernhardswiesstrasse 33,St. Gallen,9014,"Bernhardswiesstrasse 33, 9014 St. Gallen",POINT (9.341144561767578 47.40712356567383),1069641_0
3001302821,158105.01.00403,rent,2021-09-30T14:31:11,,4,1570,,,,141,1980,Reherstr. 19,St. Gallen,9016,"Reherstr. 19, 9016 St. Gallen",POINT (9.415787696838379 47.4371223449707),1076747_0
3001346931,38488958,rent,2021-09-30T14:31:11,,,1240,,,,,,Stationstrasse 49,St. Gallen,9014,"Stationstrasse 49, 9014 St. Gallen",POINT (9.33334732055664 47.40803909301758),1069022_0
3001335388,47314856,rent,2021-09-30T14:31:11,,,1500,,,,,,Brauerstrasse 40,St. Gallen,9016,"Brauerstrasse 40, 9016 St. Gallen",POINT (9.403402328491211 47.436283111572266),1076282_0
3001260766,28945540,rent,2021-09-30T14:31:11,,,1390,,,,79,,Reherstr.22 c,St. Gallen,9016,"Reherstr.22 c, 9016 St. Gallen",,
3001354292,54427.03.0201,rent,2021-09-30T14:31:11,,2,1820,280,1540,,98,1985,Rorschacher Strasse 277C,St. Gallen,9016,"Rorschacher Strasse 277C, 9016 St. Gallen",POINT (9.411725044250488 47.44156265258789),2363823_1
3001316326,9gqwu.ssc5f,rent,2021-09-30T14:31:12,,3,1850,,,,,,Kesselhaldenstrasse 25,St. Gallen,9016,"Kesselhaldenstrasse 25, 9016 St. Gallen",POINT (9.40241527557373 47.440574645996094),1076905_0
3001336410,5419.09.0047,rent,2021-09-30T14:31:12,,4,1510,,,,103,1979,Zilweg 11,St. Gallen,9016,"Zilweg 11, 9016 St. Gallen",POINT (9.408564567565918 47.442626953125),1077114_0
3001385212,46387355,rent,2021-09-30T14:31:12,,,1560,,,,110,,Martinsbruggstrasse 34,St. Gallen,9016,"Martinsbruggstrasse 34, 9016 St. Gallen",POINT (9.4097261428833 47.436439514160156),1076656_0
3001342548,47374447,rent,2021-09-30T14:31:12,,,1250,,,,80,,Hüttenwiesstrasse 9,St. Gallen,9016,"Hüttenwiesstrasse 9, 9016 St. Gallen",POINT (9.401724815368652 47.438697814941406),190699669_0
3001305223,16482.01.0003,rent,2021-09-30T14:31:12,,GF,870,,,,46,1966,Hafnerstrasse 8,St. Gallen,9000,"Hafnerstrasse 8, 9000 St. Gallen",POINT (9.380929946899414 47.42387771606445),1073498_0
