id,object_ref,category,date,flatType,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,lat,lng,wkt,gwr_egid,match_accuracy
3001233790,861550.09db43ef-ef73-11eb-83fa-005056bdbc06,rent,2021-10-12T19:05:11,,1,950,140,810,,40,,Rorschacher Strasse 183,St. Gallen,9000,47.4329643249512,9.39859294891357,POINT (9.398592948913574 47.43296432495117),1076198,0.230769230769231
3001234640,16841.01.0302,rent,2021-10-13T07:37:02,,3,1250,,,,,1990,Felsenstrasse 88,St. Gallen,9000,47.4192237854004,9.37095546722412,POINT (9.370955467224121 47.41922378540039),2363199,
3001234723,5026.03.0023,rent,2021-10-12T20:14:50,,2,1310,,,,70,2006,Oberstrasse 255,St. Gallen,9014,47.408634185791,9.34397888183594,POINT (9.343978881835938 47.408634185791016),160010377,0.0
3001235438,54813.01.0001,rent,2021-10-12T19:08:57,,1,1690,260,1430,,105,1963,Tannenstrasse 32,St. Gallen,9010,47.4357986450195,9.3785228729248,POINT (9.378522872924805 47.43579864501953),1073257,0.3125
3001236200,175.1.1051a,rent,2021-10-12T19:52:17,,5,1290,,,,120,,Geltenwilenstrasse 23,St. Gallen,9000,47.418327331543,9.3671875,POINT (9.3671875 47.41832733154297),1072277,0.0
3001237750,1030.01.100001,rent,2021-10-12T19:52:19,,GF,1500,,,,98,,Gottfried-Keller-Strasse 12,St. Gallen,9000,47.4202613830566,9.37479496002197,POINT (9.374794960021973 47.42026138305664),1072245,0.0101010101010101
3001237758,54807.01.0101,rent,2021-10-12T20:46:54,,1,1390,200,1190,,75,1919,Tschudistr. 15,St. Gallen,9000,47.4173316955566,9.36606597900391,POINT (9.366065979003906 47.41733169555664),1071683,0.0
3001237759,53002.01.0301,rent,2021-10-12T20:46:54,,3,1170,,,,80,1908,Krontalstr. 13,St. Gallen,9000,47.4327812194824,9.39970684051514,POINT (9.399706840515137 47.43278121948242),1075809,0.0
3001240014,5670.01.0401,rent,2021-10-13T09:12:53,,4,1260,210,1050,,65,1850,Kreuzbleichestrasse 8,St. Gallen,9000,47.4201164245605,9.35637950897217,POINT (9.356379508972168 47.42011642456055),1070294,0.458333333333333
3001244413,863302.d4c7b173-f38d-11eb-83fa-005056bdbc06,rent,2021-10-13T08:56:05,,GF,570,,,,12,,Waldstrasse 5,St. Gallen,9008,47.4424133300781,9.39263439178467,POINT (9.392634391784668 47.442413330078125),1075173,0.84
3001246535,08083.02.0242,rent,2021-10-12T19:38:43,,4,1820,,,,125,1988,Langgasse 11,St. Gallen,9008,47.4346084594727,9.38476085662842,POINT (9.384760856628418 47.434608459472656),1074761,0.0310077519379846
3001246726,863663.a0e4315f-f45a-11eb-83fa-005056bdbc06,rent,2021-10-13T08:39:52,,2,1170,180,990,,50,,Achslenweg 8,St. Gallen,9016,47.4349250793457,9.40976142883301,POINT (9.409761428833008 47.4349250793457),1076626,0.0196078431372549
