name,score,description,category,label,_geom
ETbjmetJjT4nWVnPaqVbPQ,7.705639144930485,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/ETbjmetJjT4nWVnPaqVbPQ""><img style=""width:200px"" src=""https://images.mapillary.com/ETbjmetJjT4nWVnPaqVbPQ/thumb-320.jpg""></a><br>Streetwise Score: 7.705639144930485",0,wahrgenommene Sicherheit tief,POINT (9.3702288 47.4227087)
xRyQtOX8IP962gsfWW1NMw,38.451696487854335,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/xRyQtOX8IP962gsfWW1NMw""><img style=""width:200px"" src=""https://images.mapillary.com/xRyQtOX8IP962gsfWW1NMw/thumb-320.jpg""></a><br>Streetwise Score: 38.451696487854335",3,+,POINT (9.380383699999999 47.4258572)
b6FCgpnwCWFWdP469E8ikA,34.93690870311173,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/b6FCgpnwCWFWdP469E8ikA""><img style=""width:200px"" src=""https://images.mapillary.com/b6FCgpnwCWFWdP469E8ikA/thumb-320.jpg""></a><br>Streetwise Score: 34.93690870311173",3,+,POINT (9.3802427 47.4258539)
BYYCUHXnWRrnn7PFuEO9Gg,30.983267553298308,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/BYYCUHXnWRrnn7PFuEO9Gg""><img style=""width:200px"" src=""https://images.mapillary.com/BYYCUHXnWRrnn7PFuEO9Gg/thumb-320.jpg""></a><br>Streetwise Score: 30.983267553298308",3,+,POINT (9.380156899999999 47.4257501)
ix8TFNFLnTmWmVFgUD5vtQ,35.413059349155176,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/ix8TFNFLnTmWmVFgUD5vtQ""><img style=""width:200px"" src=""https://images.mapillary.com/ix8TFNFLnTmWmVFgUD5vtQ/thumb-320.jpg""></a><br>Streetwise Score: 35.413059349155176",3,+,POINT (9.3800834 47.4256742)
nDcVFFYLsmd-lQiZwhGIpQ,40.176888943964286,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/nDcVFFYLsmd-lQiZwhGIpQ""><img style=""width:200px"" src=""https://images.mapillary.com/nDcVFFYLsmd-lQiZwhGIpQ/thumb-320.jpg""></a><br>Streetwise Score: 40.176888943964286",4,wahrgenommene Sicherheit hoch,POINT (9.3799527 47.4256021)
MSyjEL4jAx2ZXMpqQ91Eqg,43.53548065651843,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/MSyjEL4jAx2ZXMpqQ91Eqg""><img style=""width:200px"" src=""https://images.mapillary.com/MSyjEL4jAx2ZXMpqQ91Eqg/thumb-320.jpg""></a><br>Streetwise Score: 43.53548065651843",4,wahrgenommene Sicherheit hoch,POINT (9.3798461 47.4255395)
OQID_GzwYgMhA4OpGmLZsA,40.41248552098946,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/OQID_GzwYgMhA4OpGmLZsA""><img style=""width:200px"" src=""https://images.mapillary.com/OQID_GzwYgMhA4OpGmLZsA/thumb-320.jpg""></a><br>Streetwise Score: 40.41248552098946",4,wahrgenommene Sicherheit hoch,POINT (9.3797228 47.4254672)
WbutjICLnngoyn6TEGuevA,32.680614112344486,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/WbutjICLnngoyn6TEGuevA""><img style=""width:200px"" src=""https://images.mapillary.com/WbutjICLnngoyn6TEGuevA/thumb-320.jpg""></a><br>Streetwise Score: 32.680614112344486",3,+,POINT (9.379634899999999 47.4253651)
hRRuqyRZ1gIjPrtmtAMvmQ,41.709918808671084,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/hRRuqyRZ1gIjPrtmtAMvmQ""><img style=""width:200px"" src=""https://images.mapillary.com/hRRuqyRZ1gIjPrtmtAMvmQ/thumb-320.jpg""></a><br>Streetwise Score: 41.709918808671084",4,wahrgenommene Sicherheit hoch,POINT (9.3794954 47.4253122)
NTnovgK03CtOuc1BeasqKg,30.85334071517109,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/NTnovgK03CtOuc1BeasqKg""><img style=""width:200px"" src=""https://images.mapillary.com/NTnovgK03CtOuc1BeasqKg/thumb-320.jpg""></a><br>Streetwise Score: 30.85334071517109",3,+,POINT (9.379309900000001 47.4252658)
bEy-kcNiXo3hU9CG9cyytw,33.15429815362419,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/bEy-kcNiXo3hU9CG9cyytw""><img style=""width:200px"" src=""https://images.mapillary.com/bEy-kcNiXo3hU9CG9cyytw/thumb-320.jpg""></a><br>Streetwise Score: 33.15429815362419",3,+,POINT (9.379243499999999 47.4251613)
mlZIvCzIdOmE8OtvrsVqWQ,26.558272287726776,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/mlZIvCzIdOmE8OtvrsVqWQ""><img style=""width:200px"" src=""https://images.mapillary.com/mlZIvCzIdOmE8OtvrsVqWQ/thumb-320.jpg""></a><br>Streetwise Score: 26.558272287726776",2,0,POINT (9.3792051 47.4251822)
O3pCMBUuIO2zm6kxdW4FFA,30.220582376295035,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/O3pCMBUuIO2zm6kxdW4FFA""><img style=""width:200px"" src=""https://images.mapillary.com/O3pCMBUuIO2zm6kxdW4FFA/thumb-320.jpg""></a><br>Streetwise Score: 30.220582376295035",3,+,POINT (9.3790701 47.4251518)
X2H-TzVTXofnHYHUlVWFKg,35.07713631528753,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/X2H-TzVTXofnHYHUlVWFKg""><img style=""width:200px"" src=""https://images.mapillary.com/X2H-TzVTXofnHYHUlVWFKg/thumb-320.jpg""></a><br>Streetwise Score: 35.07713631528753",3,+,POINT (9.3789129 47.4251867)
MmdmztX473Ym4JPU2dcy2Q,35.33178716778645,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/MmdmztX473Ym4JPU2dcy2Q""><img style=""width:200px"" src=""https://images.mapillary.com/MmdmztX473Ym4JPU2dcy2Q/thumb-320.jpg""></a><br>Streetwise Score: 35.33178716778645",3,+,POINT (9.3787626 47.4251627)
unLlvRCD4P5ZjgfPTlkVmg,33.986796431888166,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/unLlvRCD4P5ZjgfPTlkVmg""><img style=""width:200px"" src=""https://images.mapillary.com/unLlvRCD4P5ZjgfPTlkVmg/thumb-320.jpg""></a><br>Streetwise Score: 33.986796431888166",3,+,POINT (9.3787015 47.4252557)
YXPUvR5JQHDClh5q9BDg0Q,41.15436638793022,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/YXPUvR5JQHDClh5q9BDg0Q""><img style=""width:200px"" src=""https://images.mapillary.com/YXPUvR5JQHDClh5q9BDg0Q/thumb-320.jpg""></a><br>Streetwise Score: 41.15436638793022",4,wahrgenommene Sicherheit hoch,POINT (9.3785487 47.4252904)
KzaLZGTxSSCF1PDBQVzImw,39.4004347863701,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/KzaLZGTxSSCF1PDBQVzImw""><img style=""width:200px"" src=""https://images.mapillary.com/KzaLZGTxSSCF1PDBQVzImw/thumb-320.jpg""></a><br>Streetwise Score: 39.4004347863701",0,wahrgenommene Sicherheit tief,POINT (9.378401200000001 47.4253275)
zuYmF_oTc88vPa3ZUXFWVA,37.897174908689855,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/zuYmF_oTc88vPa3ZUXFWVA""><img style=""width:200px"" src=""https://images.mapillary.com/zuYmF_oTc88vPa3ZUXFWVA/thumb-320.jpg""></a><br>Streetwise Score: 37.897174908689855",3,+,POINT (9.3783288 47.4254139)
l86mcnRSXwpKFT4MSUqgOA,41.111266960371154,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/l86mcnRSXwpKFT4MSUqgOA""><img style=""width:200px"" src=""https://images.mapillary.com/l86mcnRSXwpKFT4MSUqgOA/thumb-320.jpg""></a><br>Streetwise Score: 41.111266960371154",4,wahrgenommene Sicherheit hoch,POINT (9.378337399999999 47.4255306)
P684cwTLRK1ePVXH5Zjvow,40.939927419342766,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/P684cwTLRK1ePVXH5Zjvow""><img style=""width:200px"" src=""https://images.mapillary.com/P684cwTLRK1ePVXH5Zjvow/thumb-320.jpg""></a><br>Streetwise Score: 40.939927419342766",4,wahrgenommene Sicherheit hoch,POINT (9.3782862 47.4256101)
DkP-NIbgxPc7n_UqtgmdjQ,38.181185590562244,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/DkP-NIbgxPc7n_UqtgmdjQ""><img style=""width:200px"" src=""https://images.mapillary.com/DkP-NIbgxPc7n_UqtgmdjQ/thumb-320.jpg""></a><br>Streetwise Score: 38.181185590562244",3,+,POINT (9.3781365 47.4256348)
XBYx6DGDDM8I36mpyCPYHg,39.123236711664966,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/XBYx6DGDDM8I36mpyCPYHg""><img style=""width:200px"" src=""https://images.mapillary.com/XBYx6DGDDM8I36mpyCPYHg/thumb-320.jpg""></a><br>Streetwise Score: 39.123236711664966",0,wahrgenommene Sicherheit tief,POINT (9.378017099999999 47.425685)
DT_PnYJEXgSSlEZBAKVlXg,46.218926763380395,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/DT_PnYJEXgSSlEZBAKVlXg""><img style=""width:200px"" src=""https://images.mapillary.com/DT_PnYJEXgSSlEZBAKVlXg/thumb-320.jpg""></a><br>Streetwise Score: 46.218926763380395",4,wahrgenommene Sicherheit hoch,POINT (9.3778679 47.4257205)
u9A8Xc3XgHCHRJg1Tl98XA,37.08369351293279,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/u9A8Xc3XgHCHRJg1Tl98XA""><img style=""width:200px"" src=""https://images.mapillary.com/u9A8Xc3XgHCHRJg1Tl98XA/thumb-320.jpg""></a><br>Streetwise Score: 37.08369351293279",3,+,POINT (9.377699099999999 47.4257034)
ChFy3jB5AaPo_WNBv-Mm3Q,41.57472699552354,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/ChFy3jB5AaPo_WNBv-Mm3Q""><img style=""width:200px"" src=""https://images.mapillary.com/ChFy3jB5AaPo_WNBv-Mm3Q/thumb-320.jpg""></a><br>Streetwise Score: 41.57472699552354",4,wahrgenommene Sicherheit hoch,POINT (9.3776049 47.4257558)
CLa_lbZZnI77IL4dKLIP8Q,36.9911823791133,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/CLa_lbZZnI77IL4dKLIP8Q""><img style=""width:200px"" src=""https://images.mapillary.com/CLa_lbZZnI77IL4dKLIP8Q/thumb-320.jpg""></a><br>Streetwise Score: 36.9911823791133",3,+,POINT (9.377460900000001 47.425761)
